order_id,order_date,customer_id,product_id,category,quantity,price_per_unit,payment_method,total_order_value,order_status
1,8/1/2025,1,27119-DZ-899,Gaming,266,85,,3.67,Completed
2,2/7/2025,2,26146-NL-790,Food - Frozen Meals,413,277,PayPal,628.27,Completed
3,12/2/2024,3,37749-LM-063,Outdoor,62,198,credit card,744.04,Completed
4,7/12/2025,4,40389-ZB-335,Food - Soups,663,423,Apple Pay,351.96,Completed
5,11/27/2024,5,08514-MQ-037,Pets,104,244,debit card,127.05,Completed
6,5/31/2025,6,70762-XZ-525,Fitness,875,422,Apple Pay,234.68,Returned
7,9/27/2024,7,55325-WN-241,Health,,378,debit card,493.51,Completed
8,10/28/2024,8,15563-BM-232,Food - Salad Toppings,555,284,,192.81,Completed
9,8/5/2024,9,21920-VO-783,Food - Frozen Meals,527,277,Venmo,531.22,Completed
10,8/1/2025,10,15916-DS-273,Garden,682,,credit card,809.17,Completed
11,7/2/2025,11,37571-WQ-095,Food - Produce,944,476,Google Pay,352.85,Completed
12,2/1/2025,12,68078-MG-360,Electronics,980,455,debit card,383.77,Completed
13,3/6/2025,13,44952-JN-189,Home,249,376,credit card,31.8,Cancelled
14,6/22/2025,14,82573-SW-585,Food - Baking,614,363,Venmo,92.92,Completed
15,3/11/2025,15,66192-HR-014,Pets,744,141,PayPal,137.71,Completed
16,7/23/2025,16,65958-GJ-578,Clothing - Pants,423,,PayPal,116.35,Pending
17,2/14/2025,17,56019-AN-290,Home,345,315,PayPal,837.63,Completed
18,7/20/2025,18,06030-BL-584,Food - Pantry,481,101,credit card,10.47,Cancelled
19,1/27/2025,19,48821-EU-979,Food - Condiments,499,228,credit card,578.21,Pending
20,2/20/2025,20,41852-QJ-606,Food - Spices,,234,Google Pay,68.76,Completed
21,2/15/2025,21,28288-JD-415,Home,905,379,Apple Pay,551.9,Returned
22,6/1/2025,22,35976-DA-309,Food - Canned Goods,272,420,Google Pay,253.74,Completed
23,6/25/2025,23,09209-GN-976,Food - Baking,377,355,PayPal,794.42,Pending
24,10/7/2024,24,77310-IS-655,Food - Condiments,485,135,Apple Pay,361.56,Pending
25,6/3/2025,25,84060-LB-081,Food - Grains,103,438,PayPal,743.26,Completed
26,10/24/2024,26,05534-ZW-297,Food - Pasta,320,78,debit card,717.79,Returned
27,4/29/2025,27,36377-GQ-102,Food - Breakfast,518,263,credit card,827.51,Cancelled
28,11/23/2024,28,24615-CK-480,Food - Baking,520,129,Apple Pay,903.3,Completed
29,11/2/2024,29,57925-CU-970,Food - Canned Soups,290,,debit card,503.91,Completed
30,3/28/2025,30,15891-EP-987,Garden,33,145,Venmo,581.61,Completed
31,9/25/2024,31,15264-RA-206,Kitchen,464,215,Apple Pay,233.4,Completed
32,8/11/2024,32,83307-RE-568,Food - Grains,829,130,PayPal,942.01,Completed
33,8/8/2024,33,52050-BI-337,Accessories,4,142,debit card,178.71,Completed
34,6/5/2025,34,06428-KP-134,Kitchen,106,84,debit card,586.29,Completed
35,9/13/2024,35,79470-MN-762,,606,484,Google Pay,906.87,Returned
