order_id,order_date,customer_id,product_id,category,quantity,price_per_unit,payment_method,total_order_value,order_status,campaign_id,channel,region,price_without_discount,discount_applied,discount_amount,days_to_delivery
2,2025-02-07,2,26146-NL-790,Food - Frozen Meals,413.0,277.0,PayPal,114401.0,Completed,Campaign B,Email Marketing,East,114401.0,False,0.0,3
3,2024-12-02,3,37749-LM-063,Outdoor,62.0,198.0,credit card,12276.0,Completed,Campaign A,Google Ads,West,12276.0,False,0.0,7
4,2025-07-12,4,40389-ZB-335,Food - Soups,663.0,423.0,Apple Pay,280449.0,Completed,Campaign C,Social Media,North,280449.0,False,0.0,1
5,2024-11-27,5,08514-MQ-037,Pets,104.0,244.0,debit card,25376.0,Completed,Campaign A,Google Ads,South,25376.0,False,0.0,5
6,2025-05-31,6,70762-XZ-525,Fitness,875.0,422.0,Apple Pay,369250.0,Returned,Campaign C,Social Media,East,369250.0,False,0.0,6
9,2024-08-05,9,21920-VO-783,Food - Frozen Meals,527.0,277.0,Venmo,145979.0,Completed,Campaign A,Google Ads,South,145979.0,False,0.0,3
11,2025-07-02,11,37571-WQ-095,Food - Produce,944.0,476.0,Google Pay,388441.2216031124,Completed,Campaign C,Social Media,West,449344.0,True,60902.778396887596,3
12,2025-02-01,12,68078-MG-360,Electronics,980.0,455.0,debit card,445900.0,Completed,Campaign C,Social Media,North,445900.0,False,0.0,10
13,2025-03-06,13,44952-JN-189,Home,249.0,376.0,credit card,81144.0101581745,Cancelled,Campaign C,Social Media,South,93624.0,True,12479.989841825505,5
14,2025-06-22,14,82573-SW-585,Food - Baking,614.0,363.0,Venmo,222882.0,Completed,Campaign B,Email Marketing,East,222882.0,False,0.0,1
15,2025-03-11,15,66192-HR-014,Pets,744.0,141.0,PayPal,104904.0,Completed,Campaign C,Social Media,West,104904.0,False,0.0,3
17,2025-02-14,17,56019-AN-290,Home,345.0,315.0,PayPal,108675.0,Completed,Campaign C,Social Media,South,108675.0,False,0.0,9
18,2025-07-20,18,06030-BL-584,Food - Pantry,481.0,101.0,credit card,42624.83774304673,Cancelled,Campaign C,Social Media,East,48581.0,True,5956.162256953273,3
19,2025-01-27,19,48821-EU-979,Food - Condiments,499.0,228.0,credit card,113772.0,Pending,Campaign B,Email Marketing,West,113772.0,False,0.0,1
21,2025-02-15,21,28288-JD-415,Home,905.0,379.0,Apple Pay,314917.5597101349,Returned,Campaign C,Social Media,South,342995.0,True,28077.440289865084,9
22,2025-06-01,22,35976-DA-309,Food - Canned Goods,272.0,420.0,Google Pay,114240.0,Completed,Campaign B,Email Marketing,East,114240.0,False,0.0,3
23,2025-06-25,23,09209-GN-976,Food - Baking,377.0,355.0,PayPal,133835.0,Pending,Campaign B,Email Marketing,West,133835.0,False,0.0,2
24,2024-10-07,24,77310-IS-655,Food - Condiments,485.0,135.0,Apple Pay,58613.222428295085,Pending,Campaign A,Google Ads,North,65475.0,True,6861.777571704917,3
25,2025-06-03,25,84060-LB-081,Food - Grains,103.0,438.0,PayPal,45114.0,Completed,Campaign B,Email Marketing,South,45114.0,False,0.0,2
26,2024-10-24,26,05534-ZW-297,Food - Pasta,320.0,78.0,debit card,24960.0,Returned,Campaign A,Google Ads,East,24960.0,False,0.0,1
